,Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle
0,Trey Adams,OL,203,318,5.6,24.5,,92,,
1,Hakeem Adeniji,OL,193,302,5.17,34,26,115,,
2,McTelvin Agim,DL,190,309,4.98,,27,,,
3,Salvon Ahmed,RB,180,197,4.62,34.5,,120,,
4,Brandon Aiyuk,WR,183,205,4.5,40,11,128,,
5,Cam Akers,RB,178,217,4.47,35.5,20,122,,4.42
6,Bradlee Anae,DL,190,257,4.93,31,25,115,7.44,4.43
7,Tremayne Anchrum,OL,188,314,5.21,24.5,26,104,,
8,Jet Anderson,RB,178,208,4.61,36,19,128,,4.19
9,Damon Arnette,CB,183,195,4.56,,,,,
10,Grayland Arnold,CB,175,186,4.59,33,12,120,7.01,4.3
11,Devin Asiasi,TE,190,257,4.73,30.5,16,115,,
12,Joe Bachie,LB,185,230,4.67,33.5,26,119,6.93,4.34
13,Markus Bailey,LB,183,235,,,15,,,
14,Trajan Bandy,CB,173,180,4.5,,10,,,
15,Ben Bartch,OL,198,309,,,,,,
16,Tyler Bass,K,178,185,,,,,,
17,Essang Bassey,CB,175,191,4.46,39.5,12,128,6.95,4.13
18,Zack Baun,LB,188,238,4.65,32.5,24,115,7,4.31
19,Omar Bayless,WR,185,212,4.62,36,11,123,7.35,4.5
20,Mekhi Becton,OL,200,364,5.1,,23,,,
21,LeVante Bellamy,RB,175,192,4.5,39.5,16,125,,
22,Eno Benjamin,RB,175,207,4.57,39,12,122,6.97,4.25
23,Francis Bernard,LB,183,234,4.81,32.5,19,120,,
24,Tyler Biadasz,OL,193,314,,,,,,
25,Daniel Bituli,LB,188,246,4.84,32,16,121,,
26,Ross Blacklock,DL,190,290,4.9,29,,107,7.77,4.67
27,Julian Blackmon,S,183,187,,,,,,
28,Rodrigo Blankenship,K,185,190,,,,,,
29,Lynn Bowden,WR,180,204,,,13,,,
30,Shaun Bradley,LB,185,235,4.51,32.5,14,121,7.07,4.24
31,Ben Bredeson,OL,195,315,,,,,,
32,Jacob Breeland,TE,195,252,,,,,,
33,Jordyn Brooks,LB,183,240,4.54,,,,,
34,Cameron Brown,LB,195,233,4.72,35.5,16,123,,
35,Derrick Brown,DL,195,326,5.16,27,28,108,8.22,4.79
36,Tony Brown,WR,185,198,4.65,33.5,14,119,7.21,4.27
37,Harrison Bryant,TE,195,243,4.73,32.5,13,110,7.41,4.37
38,Hunter Bryant,TE,188,248,4.74,32.5,23,115,7.08,4.46
39,Kelly Bryant,QB,190,229,4.69,35,,125,7.33,4.51
40,Myles Bryant,CB,173,183,4.62,31.5,,115,6.81,4.02
41,Terrell Burgess,S,180,202,4.46,33.5,20,122,,
42,Joe Burrow,QB,190,221,,,,,,
43,Cohl Cabral,OL,195,300,,,20,,,
44,Lawrence Cager,WR,195,220,,,,,,
45,Raymond Calais,RB,173,188,4.42,37.5,20,120,,
46,Marquez Callaway,WR,185,205,4.55,38,,126,,
47,Shyheim Carter,S,178,194,,,,,,
48,Quintez Cephus,WR,185,202,4.73,38.5,23,124,7.2,4.33
49,K'Lavon Chaisson,LB,190,254,,,,,,
50,Saahdiq Charles,OL,193,321,5.05,,,,,
51,Joseph Charlton,P,193,195,,,,,,
52,Jeremy Chinn,S,190,221,4.45,41,20,138,,
53,Cameron Clark,OL,193,308,5.29,25,26,101,,
54,Nevelle Clarke,CB,185,190,,35,10,126,6.88,4.31
55,Chase Claypool,WR,193,238,4.42,40.5,19,126,,
56,Rodney Clemons,S,183,209,4.71,33.5,21,118,,
57,Ezra Cleveland,OL,198,311,4.93,30,30,111,7.26,4.46
58,Tyrie Cleveland,WR,188,209,4.46,39.5,13,126,,
59,Josiah Coatney,DL,190,308,5.21,27,22,99,8.07,4.82
60,Nick Coe,LB,195,280,4.89,29,21,116,,
61,Kendall Coleman,DL,190,257,4.95,32,,114,7.5,4.62
62,Trystan Colon-Castillo,OL,190,313,,,11,,,
63,Carter Coughlin,LB,190,236,4.57,36,,126,,
64,Isaiah Coulter,WR,188,198,4.45,36,,121,7.28,4.62
65,Kamren Curl,S,185,206,4.6,34.5,24,125,,
66,Lloyd Cushenberry,OL,190,312,5.27,,25,,,
67,DeeJay Dallas,RB,178,217,4.58,33.5,,119,7.18,4.32
68,Darrion Daniels,DL,190,311,5.18,27,21,109,7.75,4.93
69,Cameron Dantzler,CB,188,188,4.64,34.5,,,,
70,Kevin Davidson,QB,193,224,5,28,,109,7.13,4.37
71,Marlon Davidson,DL,190,303,5.04,,21,,,
72,Ashtyn Davis,S,185,202,,,14,,,
73,Carlos Davis,DL,188,313,4.82,,27,,,4.52
74,Gabriel Davis,WR,188,216,4.54,35,14,124,7.08,4.59
75,Javaris Davis,CB,173,183,4.39,35.5,11,124,,
76,Khalil Davis,DL,185,308,4.75,,32,,,
77,Quartney Davis,WR,185,201,4.54,35.5,,,,
78,Raekwon Davis,DL,198,311,5.12,28,24,111,7.95,4.86
79,Akeem Davis-Gaither,LB,185,224,,,21,,,
80,Josiah Deguara,TE,188,242,4.72,35.5,25,115,7.15,4.35
81,Grant Delpit,S,188,213,,,,,,
82,Trevon Diggs,CB,185,205,,,,,,
83,AJ Dillon,RB,183,247,4.53,41,23,131,7.19,
84,Michael Divinity,LB,188,242,4.85,31,14,115,,
85,J.K. Dobbins,RB,175,209,,,23,,,
86,Rico Dowdle,RB,180,213,4.54,38,,127,,
87,Jack Driscoll,OL,195,306,5.02,29.5,23,114,,
88,Kyle Dugger,S,185,217,4.49,42,17,134,,
89,Yasir Durant,OL,198,331,5.52,25,21,,,
90,Devin Duvernay,WR,178,200,4.39,35.5,,123,7.13,4.2
91,Troy Dye,LB,190,231,,,,,,
92,Jacob Eason,QB,198,231,4.89,27.5,,110,7.5,4.75
93,Bryan Edwards,WR,190,212,,,,,,
94,Clyde Edwards-Helaire,RB,170,207,4.6,39.5,15,123,,
95,Jalen Elliott,S,183,205,4.8,34,15,125,6.87,4.3
96,Jordan Elliott,DL,193,302,5.02,27.5,24,,,4.73
97,A.J. Epenesa,DL,195,275,5.04,32.5,17,117,7.34,4.46
98,Darrynton Evans,RB,178,203,4.41,37,20,125,,
99,Blake Ferguson,LS,190,229,5.07,31,,112,7.43,4.52
100,Chris Finke,WR,175,186,4.57,40,7,,,
101,Leki Fotu,DL,195,330,5.15,,21,,,
102,Jake Fromm,QB,188,219,5.01,30,,111,7.27,4.51
103,Aaron Fuller,WR,180,188,4.59,34,,118,7.14,
104,Jordan Fuller,S,188,203,4.67,35.5,,122,,4.27
105,Kristian Fulton,CB,183,197,4.46,35.5,,123,6.94,4.36
106,Tipa Galeai,LB,195,235,,,,,,
107,Neville Gallimore,DL,188,304,4.79,,23,,7.97,5.01
108,Antonio Gandy-Golden,WR,193,223,4.6,36,22,127,7.33,4.55
109,Cale Garrett,LB,188,234,4.92,32,,124,6.91,4.13
110,Jonathan Garvin,DL,193,263,4.82,36,23,125,,
111,Antonio Gibson,WR,183,228,4.39,35,16,118,,
112,Alohi Gilman,S,178,201,4.6,32,17,119,6.81,4.08
113,Trevis Gipson,DL,190,261,,,25,,,
114,Jeff Gladney,CB,178,191,4.48,37.5,17,124,7.26,
115,Anthony Gordon,QB,188,205,,,,,,
116,A.J. Green,CB,185,202,4.62,,13,,,
117,Jonathan Greenard,DL,190,263,4.87,30.5,22,113,7.13,4.34
118,Yetur Gross-Matos,DL,195,266,,34,20,120,,
119,Javelin Guidry,CB,175,191,4.29,,21,,,
120,Stephen Guidry,WR,190,201,4.47,34,,125,7.31,4.46
121,Bryce Hall,CB,185,202,,,11,,,
122,DaVon Hamilton,DL,193,320,5.14,29.5,33,102,7.72,
123,LaDarius Hamilton,DL,188,262,4.89,30,27,114,7.66,4.49
124,KJ Hamler,WR,175,178,,,15,,,
125,Harrison Hand,CB,180,197,4.52,41,14,133,7.15,4.27
126,Jake Hanson,OL,193,303,5.5,,33,,,
127,Nick Harris,OL,185,302,5.1,29.5,20,103,,
128,Scoota Harris,LB,183,234,4.69,33,18,111,7.38,4.32
129,Malik Harrison,LB,190,247,4.66,36,,122,6.83,4.32
130,JaMycal Hasty,RB,173,205,4.55,39,15,123,,4.03
131,Jaylinn Hawkins,S,185,208,,35.5,,117,,
132,Charlie Heck,OL,203,311,5.16,28,21,112,8.02,4.86
133,C.J. Henderson,CB,185,204,4.39,37.5,20,127,,
134,Matt Hennessy,OL,193,307,5.18,30,23,110,7.45,4.6
135,Justin Herbert,QB,198,236,4.68,35.5,,123,7.06,4.46
136,Brian Herrien,RB,180,209,4.62,38.5,18,126,7.12,4.4
137,Justin Herron,OL,193,308,5.26,33,27,105,8.41,4.88
138,Tee Higgins,WR,193,216,,,,,,
139,Alex Highsmith,DL,190,248,4.7,33,,125,7.32,4.31
140,John Hightower,WR,185,189,4.43,38.5,,122,7.07,4.21
141,K.J. Hill,WR,183,196,4.6,32.5,17,114,,
142,Lavert Hill,CB,178,190,,,21,,,
143,Trevon Hill,DL,190,248,4.89,28,,113,,
144,Isaiah Hodgins,WR,193,210,4.61,36.5,9,124,7.01,4.12
145,Sterling Hofrichter,P,178,196,,,,,,
146,Darnay Holmes,CB,178,195,4.48,,12,,,
147,Brycen Hopkins,TE,193,245,4.66,33.5,21,116,7.25,4.28
148,Khaleke Hudson,LB,180,224,4.56,33,30,120,,
149,Robert Hunt,OL,195,323,,,,,,
150,Jalen Hurts,QB,185,222,4.59,35,,125,,
151,Noah Igbinoghene,CB,178,198,4.48,37,15,128,,
152,Brian Cole II,S,188,213,4.52,,,,,
153,Rashard Lawrence II,DL,188,308,5.07,,22,,8.03,
154,Reggie Robinson II,CB,185,205,4.44,36,22,132,7.09,4.18
155,Henry Ruggs III,WR,180,188,4.27,42,,131,,
156,Keith Ismael,OL,190,309,5.34,32,,108,8.14,4.65
157,Cordel Iwuagwu,OL,190,309,5.22,27,25,94,8.03,4.87
158,Austin Jackson,OL,195,322,5.07,31,27,115,7.95,
159,Dane Jackson,CB,183,187,4.57,35,,122,7.07,4.27
160,Jonah Jackson,OL,190,306,5.23,26,28,98,7.83,5.02
161,Lamar Jackson,CB,188,208,4.58,36.5,10,122,,
162,Trishton Jackson,WR,185,197,4.5,36,,117,,
163,Justin Jefferson,WR,185,202,4.43,37.5,,126,,
164,Van Jefferson,WR,185,200,,,,,,
165,Anfernee Jennings,LB,188,256,,,,,,
166,Jauan Jennings,WR,190,215,4.72,29,,119,,
167,Jerry Jeudy,WR,185,193,4.45,35,,120,,4.53
168,Collin Johnson,WR,198,222,,,17,,,
169,Jaylon Johnson,CB,183,193,4.5,36.5,15,124,7.01,4.13
170,Juwan Johnson,WR,193,230,4.58,33,14,124,6.94,4.37
171,Tyler Johnson,WR,185,206,,,,,,
172,Clay Johnston,LB,185,227,,,18,,,
173,Benito Jones,DL,185,316,5.26,26.5,,,8.21,5.27
174,Brandon Jones,S,180,198,,,,,,
175,Joshua Jones,OL,195,319,5.27,28.5,24,109,,
176,Tony Jones,RB,178,220,4.68,32.5,13,119,7.18,4.21
177,Antoine Brooks Jr.,S,180,220,4.64,34.5,18,,,
178,Willie Gay Jr.,LB,185,243,4.46,39.5,21,136,7.08,4.3
179,Laviska Shenault Jr.,WR,185,227,4.58,,17,,,
180,Antoine Winfield Jr.,S,175,203,4.45,36,,124,,
181,Azur Kamara,LB,190,245,4.59,28,13,121,7.2,4.46
182,Khalid Kareem,DL,193,268,,,,,,
183,Dalton Keene,TE,193,253,4.71,34,21,125,7.07,4.19
184,Joshua Kelley,RB,180,212,4.49,31,23,121,6.95,4.28
185,BoPete Keyes,CB,185,202,,36,,126,,
186,Solomon Kindley,OL,190,337,,,,,,
187,Javon Kinlaw,DL,195,324,,,,,,
188,Cole Kmet,TE,198,262,4.7,37,,123,7.44,4.41
189,CeeDee Lamb,WR,188,198,4.5,34.5,11,124,,
190,Javon Leake,RB,183,215,4.65,34,,125,,
191,Benny LeMay,RB,173,221,4.75,28.5,24,112,,
192,Shane Lemieux,OL,193,310,5.11,25.5,,107,8.13,4.9
193,Brian Lewerke,QB,188,213,4.95,31,,113,7.14,4.4
194,Damien Lewis,OL,188,327,5.24,30,27,108,,
195,Terrell Lewis,LB,195,262,,37,,124,,
196,Kalija Lipscomb,WR,183,207,4.57,32,16,127,,
197,Jordan Love,QB,193,224,4.74,35.5,,118,7.21,4.52
198,Jake Luton,QB,198,224,,,,,,
199,James Lynch,DL,193,289,5.01,29,23,111,7.39,4.39
200,Austin Mack,WR,185,208,4.59,31.5,,117,,4.42
201,Jordan Mack,LB,190,241,,,,,,
202,Justin Madubuike,DL,190,293,4.83,,31,,7.37,
203,Braden Mann,P,180,198,4.83,31,,111,7.03,4.13
204,Kamal Martin,LB,190,240,,,,,,
205,Cole McDonald,QB,190,215,4.58,36,,121,7.13,4.52
206,Anthony McFarland,RB,173,208,4.44,29.5,,116,,
207,Sean McKeon,TE,195,242,,,18,,,
208,Xavier McKinney,S,183,201,4.63,36,19,122,,
209,Colton McKivitz,OL,198,306,5.35,26,20,106,7.87,5
210,Josh Metellus,S,180,209,4.55,36.5,20,124,6.94,4.4
211,Chris Miller,S,180,190,4.61,35.5,12,133,7.09,4.12
212,Denzel Mims,WR,190,207,4.38,38.5,16,131,6.66,4.43
213,John Molchon,OL,195,309,5.13,34,26,109,7.85,4.73
214,JJ Molson,K,180,182,,,,,,
215,Steven Montez,QB,193,231,4.68,33,,117,7.25,4.43
216,Darnell Mooney,WR,178,176,4.38,37,9,124,,
217,James Morgan,QB,193,229,4.89,29,,112,7.51,4.64
218,Thaddeus Moss,TE,188,250,,,,,,
219,Zack Moss,RB,175,223,4.65,33,19,,,4.37
220,Larrell Murchison,DL,188,297,5.05,29,29,118,7.89,4.51
221,Kyle Murphy,OL,190,316,5.3,28,19,104,7.81,4.68
222,Kenneth Murray,LB,188,241,4.52,38,21,129,,
223,Tanner Muse,S,188,227,4.41,34.5,20,124,,
224,Netane Muti,OL,190,315,,,44,,,
225,Lucas Niang,OL,198,315,,,,,,
226,C.J. O'Grady,TE,193,253,4.81,34,16,119,7.3,4.34
227,Michael Ojemudia,CB,185,200,4.45,36,,122,6.87,4.21
228,Jeff Okudah,CB,185,205,4.48,41,11,135,,
229,Julian Okwara,DL,193,252,,,27,,,
230,Albert Okwuegbunam,TE,195,258,4.49,,,,,
231,Sewo Olonilua,RB,190,232,4.66,36,25,123,,4.28
232,Dante Olson,LB,188,237,4.88,42,15,124,7,4.32
233,Mike Onwenu,OL,190,344,,,26,,,
234,K.J. Osborn,WR,180,203,4.48,37.5,18,123,7,4.35
235,Aaron Parker,WR,188,209,4.57,26.5,12,112,6.94,4.23
236,Colby Parkinson,TE,200,252,4.77,32.5,18,109,7.15,4.46
237,Dezmon Patmon,WR,193,225,4.48,36,15,132,7.28,4.38
238,Shea Patterson,QB,185,212,4.71,31,,116,7.14,4.5
239,Matt Peart,OL,200,318,5.06,30,26,113,8.01,4.92
240,Alex Pechin,P,185,213,4.69,34,13,,,
241,John Penisini,DL,185,318,,25.5,23,,,4.93
242,Donovan Peoples-Jones,WR,188,212,4.48,44.5,,139,,
243,La'Mical Perine,RB,180,216,4.62,35,22,118,7.13,4.31
244,Malcolm Perry,WR,175,186,4.63,36,10,122,7.12,4.31
245,Jacob Phillips,LB,190,229,4.66,39,,126,7.38,4.33
246,Scottie Phillips,RB,173,209,4.56,30,29,114,7.4,4.53
247,Tyre Phillips,OL,195,331,5.37,25,22,93,8.17,5.11
248,James Pierre,CB,183,183,4.59,33.5,,123,7.02,
249,Michael Pinckney,LB,180,235,,,,,,
250,Jared Pinkney,TE,193,257,4.96,,23,,,
251,Danny Pinter,OL,193,306,4.91,29.5,24,110,7.76,4.62
252,Michael Pittman,WR,193,223,4.52,36.5,13,121,6.96,4.14
253,Troy Pride,CB,180,193,4.4,35.5,13,119,6.94,4.26
254,James Proche,WR,180,201,,34.5,20,,7.27,4.4
255,Shaquille Quarterman,LB,183,234,4.74,31,23,120,,
256,Patrick Queen,LB,183,229,4.5,35,18,125,,
257,Jalen Reagor,WR,180,206,4.47,42,17,138,7.31,4.46
258,J.R. Reed,S,185,202,4.54,34,15,130,,
259,Joe Reed,WR,183,224,4.47,38,21,123,,
260,John Reid,CB,178,187,4.49,36.5,20,129,6.95,3.97
261,Chauncey Rivers,DL,188,262,4.97,30.5,20,106,7.33,4.7
262,Malcolm Roach,DL,188,297,4.84,30,20,114,,
263,Amik Robertson,CB,173,187,,,,,,
264,Alton Robinson,DL,190,264,4.69,35.5,25,119,7.32,4.32
265,James Robinson,RB,175,219,4.64,40,24,125,7.03,4.19
266,Kendrick Rogers,WR,193,208,4.51,35.5,17,124,7.13,4.48
267,Cesar Ruiz,OL,190,307,5.08,33,28,113,7.91,4.64
268,Jon Runyan,OL,193,306,5.08,30.5,24,107,7.57,4.69
269,Chapelle Russell,LB,188,236,4.69,35,21,121,7.38,4.41
270,Stanford Samuels,CB,185,187,4.65,,,,,
271,Josiah Scott,CB,175,185,4.42,,17,,,
272,Qaadir Sheppard,DL,190,261,4.83,31.5,28,115,,
273,Isaiah Simmons,LB,193,238,4.39,39,,132,,
274,John Simpson,OL,193,321,5.24,30,34,107,8.03,4.87
275,Arryn Siposs,P,188,213,5.09,,,,,
276,James Smith-Williams,DL,193,265,4.6,32,28,123,7.35,4.52
277,L'Jarius Sneed,S,183,192,4.37,41,12,131,,
278,Nate Stanley,QB,193,235,4.81,28.5,,108,7.26,4.48
279,Terence Steele,OL,198,312,5.03,27.5,27,106,,5.08
280,Logan Stenberg,OL,198,317,5.3,26,,104,8,4.83
281,Simon Stepaniak,OL,193,313,,,37,,,
282,Darrell Stewart,WR,183,212,,35,15,117,,
283,Geno Stone,S,178,207,4.62,33.5,12,116,,
284,Justin Strnad,LB,190,238,4.74,29,,113,,4.49
285,Jason Strowbridge,DL,193,275,4.89,31,26,113,7.45,4.37
286,Stephen Sullivan,TE,195,248,4.66,36.5,,123,7.51,4.62
287,Freddie Swain,WR,183,197,4.46,36.5,16,124,7.05,4.26
288,D'Andre Swift,RB,173,212,4.48,35.5,,121,,
289,Tua Tagovailoa,QB,183,217,,,,,,
290,Charlie Taumoepeau,TE,188,240,4.75,36.5,18,121,7,4.27
291,Alex Taylor,OL,203,308,5.09,25,21,116,7.77,4.79
292,Darrell Taylor,LB,193,267,,,,,,
293,Davion Taylor,LB,183,228,4.49,35,21,127,6.96,4.26
294,J.J. Taylor,RB,165,185,4.61,34.5,19,118,7,4.15
295,Jonathan Taylor,RB,178,226,4.39,36,17,123,7.01,4.24
296,Patrick Taylor,RB,185,217,4.57,34,15,123,,4.34
297,A.J. Terrell,CB,185,195,4.42,34.5,15,129,,
298,Andrew Thomas,OL,195,315,5.22,30.5,21,109,7.58,4.66
299,Daniel Thomas,S,178,215,4.51,37,24,125,,
300,Jeff Thomas,WR,175,170,4.45,36.5,,125,,
301,Stantley Thomas-Oliver,CB,183,192,4.48,34,,127,,
302,Calvin Throckmorton,OL,195,317,5.57,27,23,97,8.07,4.98
303,Casey Toohill,LB,193,250,4.62,39,17,126,7.08,4.21
304,Tommy Townsend,P,185,191,4.75,,,,,
305,Adam Trautman,TE,195,255,4.8,34.5,18,114,6.78,4.27
306,Michael Turk,P,183,226,4.79,34.5,25,108,,4.72
307,Derrek Tuszka,DL,193,251,4.79,33.5,24,120,6.87,4.34
308,Josh Uche,LB,185,245,,,18,,,
309,Ke'Shawn Vaughn,RB,178,214,4.51,32,,117,,
310,Ben Victor,WR,193,198,4.6,35,9,128,7.1,
311,Kindle Vildor,CB,178,191,4.44,39.5,22,133,7.14,4.28
312,Mykal Walker,LB,190,230,4.65,33,20,122,7.09,4.25
313,K'Von Wallace,S,180,206,4.53,38,18,133,6.76,4.15
314,Prince Tega Wanogho,OL,195,308,,,,,,
315,Mike Warren,RB,175,226,,,16,,,
316,Broderick Washington,DL,188,305,,,23,,,
317,Quez Watkins,WR,183,185,4.35,36.5,,125,7.28,4.36
318,Curtis Weaver,LB,188,265,,32.5,,116,7,4.27
319,Evan Weaver,LB,188,237,4.76,32,15,117,7.02,4.21
320,Cody White,WR,190,217,4.66,35.5,,120,7.19,4.52
321,Mitchell Wilcox,TE,190,247,4.88,31,,112,7.37,4.43
322,Kenny Willekes,DL,190,264,4.87,32.5,32,119,7.39,
323,Darryl Williams,OL,188,304,5.23,25.5,23,102,7.88,4.76
324,Raequan Williams,DL,193,308,5.04,25.5,17,101,7.72,4.78
325,Jedrick Wills,OL,193,312,5.05,34.5,,113,,4.84
326,Isaiah Wilson,OL,198,350,5.32,29,26,110,8.26,5.07
327,Logan Wilson,LB,188,241,4.63,32,21,121,7.07,4.27
328,Rob Windsor,DL,193,290,4.9,28.5,21,111,7.47,4.44
329,Tristan Wirfs,OL,195,320,4.85,36.5,24,121,7.65,4.68
330,Steven Wirtel,LS,193,235,4.76,26,,120,7.12,4.28
331,Charlie Woerner,TE,195,244,4.78,34.5,21,120,7.18,4.46
332,D.J. Wonnum,DL,195,258,4.73,34.5,20,123,7.25,4.44
333,Dom Wood-Anderson,TE,193,261,4.92,35,,119,,
334,David Woodward,LB,188,230,4.79,33.5,16,114,7.34,4.37
335,Chase Young,DL,195,264,,,,,,
336,Jabari Zuniga,DL,190,264,4.64,33,29,127,,
